MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Mas Vnr Type,Mas Vnr Area,Exter Cond,Foundation,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Density_Ratio,BathPerBed,Garage_per_Living,House_Age,Years_Since_Remod,Age_Group,Remod_Group,Neighborhood_AvgPrice,Zone_AvgPrice,SaleType_AvgPrice,Lot_Area_log,Total_Bath,Kitchen Qual_num,Heating QC_num,Garage Qual_num,Fireplace Qu_num,Bsmt Qual_num,Exter Qual_num,Quality_Score
60,RL,75.0,10000,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1994,Gable,CompShg,HdBoard,None,1.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Y,SBrkr,763,892,1655,0.0,2,1,3,1,7,Typ,1,Attchd,1993.0,Fin,2.0,440.0,TA,Y,157,84,0,4,2010,WD ,Normal,175900,0.16548345165483452,0.5,0.26570048309178745,17,16,New,Old,191218.9263803681,191252.78333333333,174436.85881877024,9.210440366976517,2.5,3,4,3,3,4,3,3.7142857142857144
20,RL,64.0,7980,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,2007,Gable,CompShg,HdBoard,None,1.0,Gd,PConc,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Y,SBrkr,1187,0,1187,1.0,2,0,3,1,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,TA,Y,483,21,0,3,2010,WD ,Normal,185000,0.1487282295451698,0.5,0.35353535353535354,18,3,New,Recent,191218.9263803681,191252.78333333333,174436.85881877024,8.984818995876008,3.0,3,5,3,0,4,3,3.4285714285714284
60,RL,63.0,8402,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,Gable,CompShg,VinylSd,None,1.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Y,SBrkr,789,676,1465,0.0,2,1,3,1,7,Typ,1,Attchd,1998.0,Fin,2.0,393.0,TA,Y,0,75,0,5,2010,WD ,Normal,180400,0.17434249672735927,0.5,0.2680763983628922,12,12,New,Medium,191218.9263803681,191252.78333333333,174436.85881877024,9.036344063928219,2.5,3,4,3,4,4,3,3.857142857142857
20,RL,85.0,10176,Pave,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,Gable,CompShg,HdBoard,None,1.0,TA,PConc,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Y,SBrkr,1341,0,1341,1.0,1,1,2,1,5,Typ,1,Attchd,1990.0,Unf,2.0,506.0,TA,Y,192,0,0,2,2010,WD ,Normal,171500,0.13176771150633781,0.3333333333333333,0.3770491803278688,20,20,New,Old,191218.9263803681,191252.78333333333,174436.85881877024,9.227885551191932,2.5,4,4,3,1,4,3,3.7142857142857144
120,RL,60.0,6820,Pave,IR1,Lvl,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,Gable,CompShg,HdBoard,None,1.0,TA,PConc,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,Y,SBrkr,1502,0,1502,1.0,1,1,1,1,4,Typ,0,Attchd,1985.0,RFn,2.0,528.0,TA,Y,0,54,0,6,2010,WD ,Normal,212000,0.22020231637589796,0.5,0.35129740518962077,25,25,Medium,Old,318882.04,191252.78333333333,174436.85881877024,8.82776136765472,2.5,4,3,3,0,4,4,3.7142857142857144
60,RL,47.0,53504,Pave,IR2,HLS,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,Hip,CompShg,CemntBd,BrkFace,603.0,TA,PConc,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Y,SBrkr,1690,1589,3279,1.0,3,1,4,1,12,Mod,1,BuiltIn,2003.0,Fin,3.0,841.0,TA,Y,503,36,0,6,2010,WD ,Normal,538000,0.06128399215026633,0.6,0.25640243902439025,7,7,Very New,Medium,318882.04,191252.78333333333,174436.85881877024,10.887530386461101,4.5,5,5,3,4,4,5,4.857142857142857
50,RL,152.0,12134,Pave,IR1,Bnk,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,2005,Gable,CompShg,Wd Sdng,None,1.0,TA,Wood,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Y,SBrkr,1080,672,1752,0.0,2,0,4,1,8,Typ,0,Basment,1988.0,RFn,2.0,492.0,TA,Y,325,12,0,6,2010,WD ,Normal,164000,0.14437577255871445,0.4,0.28066172276098117,22,5,Medium,Recent,191218.9263803681,191252.78333333333,174436.85881877024,9.403849118160702,2.0,3,4,3,0,4,4,3.7142857142857144
20,RL,88.0,11394,Pave,Reg,Lvl,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,Hip,CompShg,VinylSd,Stone,350.0,TA,PConc,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Y,SBrkr,1856,0,1856,1.0,1,1,1,1,8,Typ,1,Attchd,2010.0,Fin,3.0,834.0,TA,Y,113,0,0,6,2010,New,Partial,394432,0.16287845546292234,0.5,0.4491114701130856,0,0,Very New,Recent,318882.04,191252.78333333333,275744.7008547009,9.340929941679784,2.5,5,5,3,5,5,4,5.142857142857143
20,RL,140.0,19138,Pave,Reg,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,Gable,CompShg,VinylSd,None,1.0,TA,CBlock,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Y,SBrkr,864,0,864,0.0,1,0,2,1,4,Typ,0,Detchd,1951.0,Unf,2.0,400.0,TA,Y,0,0,0,6,2010,WD ,Normal,141000,0.045143424421338625,0.3333333333333333,0.4624277456647399,59,59,Old,Very Old,191218.9263803681,191252.78333333333,174436.85881877024,9.859483417038073,1.0,3,5,3,0,3,3,3.0
20,RL,85.0,13175,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1988,Gable,CompShg,Plywood,Stone,119.0,TA,CBlock,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,Y,SBrkr,2073,0,2073,1.0,2,0,3,1,7,Min1,2,Attchd,1978.0,Unf,2.0,500.0,TA,Y,349,0,0,2,2010,WD ,Normal,210000,0.15733151183970856,0.5,0.24108003857280616,32,22,Medium,Old,188406.90839694656,191252.78333333333,174436.85881877024,9.486152271857476,3.0,3,3,3,3,4,3,3.5714285714285716
20,RL,105.0,11751,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,Hip,CompShg,Plywood,BrkFace,480.0,TA,CBlock,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Y,SBrkr,1844,0,1844,0.0,2,0,3,1,7,Typ,1,Attchd,1977.0,RFn,2.0,546.0,TA,Y,0,122,0,1,2010,COD,Normal,190000,0.15690946221919674,0.5,0.2959349593495935,33,33,Medium,Very Old,188406.90839694656,191252.78333333333,133812.20731707316,9.371778717853713,2.0,3,5,3,3,4,3,3.857142857142857
85,RL,85.0,10625,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,Gable,CompShg,Plywood,BrkFace,81.0,TA,CBlock,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,Y,SBrkr,1173,0,1173,1.0,2,0,3,1,6,Typ,2,Attchd,1974.0,RFn,2.0,528.0,TA,Y,0,120,0,1,2010,WD ,Family,170000,0.11038961038961038,0.5,0.4497444633730835,36,36,Medium,Very Old,188406.90839694656,191252.78333333333,174436.85881877024,9.271059107010888,3.0,4,3,3,3,4,3,3.857142857142857
60,FV,72.5,7500,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,Gable,CompShg,VinylSd,None,1.0,TA,PConc,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Y,SBrkr,814,860,1674,1.0,2,1,3,1,7,Typ,0,Attchd,2000.0,RFn,2.0,663.0,TA,Y,0,96,0,1,2010,WD ,Normal,216000,0.223170243967471,0.5,0.3958208955223881,10,10,New,Medium,229707.32417582418,218986.94964028776,174436.85881877024,8.922791623969637,3.5,4,5,3,0,4,4,3.857142857142857
20,RL,73.0,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Y,SBrkr,1004,0,1004,1.0,1,0,2,1,5,Typ,1,Attchd,1970.0,Fin,2.0,480.0,TA,Y,0,0,0,3,2010,WD ,Normal,149000,0.08930795232165095,0.3333333333333333,0.47761194029850745,40,40,Medium,Very Old,144279.99071925753,191252.78333333333,174436.85881877024,9.32741204356202,2.0,3,5,3,3,3,3,3.7142857142857144
20,RL,73.0,12537,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,2008,Gable,CompShg,VinylSd,None,1.0,TA,CBlock,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Y,SBrkr,1078,0,1078,1.0,1,1,3,1,6,Typ,1,Attchd,1971.0,Fin,2.0,500.0,TA,Y,0,0,0,4,2010,WD ,Normal,149900,0.08597862498006062,0.25,0.4633920296570899,39,2,Medium,Recent,144279.99071925753,191252.78333333333,174436.85881877024,9.436519311833914,2.5,3,5,3,2,3,3,3.4285714285714284
20,RL,65.0,8450,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,Gable,CompShg,VinylSd,None,1.0,TA,CBlock,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Y,SBrkr,1056,0,1056,1.0,1,0,3,1,6,Typ,1,Attchd,1968.0,Unf,1.0,304.0,TA,Y,0,85,184,7,2010,WD ,Normal,142000,0.12495562655307065,0.25,0.2876064333017975,42,42,Medium,Very Old,144279.99071925753,191252.78333333333,174436.85881877024,9.042040056544483,2.0,3,5,3,2,3,3,3.4285714285714284
20,RL,70.0,8400,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,Gable,CompShg,Plywood,None,1.0,TA,CBlock,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,Y,SBrkr,882,0,882,1.0,1,0,2,1,4,Typ,0,Attchd,1970.0,Fin,2.0,525.0,TA,Y,240,0,0,4,2010,WD ,Normal,126000,0.1049875014879181,0.3333333333333333,0.594563986409966,40,40,Medium,Very Old,144279.99071925753,191252.78333333333,174436.85881877024,9.036106025364846,2.0,3,3,3,0,3,3,2.7142857142857144
20,RL,70.0,10500,Pave,Reg,Lvl,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,Gable,CompShg,HdBoard,None,1.0,TA,CBlock,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,Y,SBrkr,864,0,864,0.0,1,0,3,1,5,Typ,1,None,0.0,None,0.0,0.0,None,Y,0,0,0,4,2010,ConLI,Normal,115000,0.08227787829730501,0.25,0.0,39,39,Medium,Very Old,144279.99071925753,191252.78333333333,187743.75,9.259225769705994,1.0,3,3,0,1,3,3,2.4285714285714284
120,RH,26.0,5858,Pave,IR1,Lvl,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,Gable,CompShg,MetalSd,None,1.0,TA,PConc,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Y,SBrkr,1337,0,1337,1.0,2,0,2,1,5,Typ,1,Attchd,1999.0,Fin,2.0,511.0,TA,Y,203,68,0,6,2010,WD ,Normal,184000,0.22819593787335724,0.6666666666666666,0.3819133034379671,11,11,New,Medium,144279.99071925753,133974.38461538462,174436.85881877024,8.675734219544788,3.0,4,5,3,2,4,4,4.142857142857143
160,RM,21.0,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,BrkFace,504.0,TA,CBlock,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,Y,SBrkr,483,504,987,0.0,1,1,2,1,5,Typ,0,Detchd,1971.0,Unf,1.0,264.0,TA,Y,275,0,0,2,2010,COD,Normal,96000,0.5871505056513979,0.3333333333333333,0.26720647773279355,39,39,Medium,Very Old,105608.33333333333,126883.29571106094,133812.20731707316,7.427144133408616,1.5,3,3,3,0,3,3,3.0
160,RM,21.0,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,Gable,CompShg,HdBoard,BrkFace,492.0,TA,CBlock,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,Y,SBrkr,525,567,1092,0.0,1,1,3,1,6,Typ,0,Detchd,1997.0,Unf,1.0,320.0,TA,Y,0,0,0,3,2010,WD ,Normal,105500,0.6496133254015467,0.25,0.292772186642269,39,39,Medium,Very Old,105608.33333333333,126883.29571106094,174436.85881877024,7.427144133408616,1.5,3,3,3,0,3,3,2.857142857142857
160,RM,21.0,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,BrkFace,381.0,TA,CBlock,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,Y,SBrkr,525,567,1092,0.0,1,1,3,1,6,Typ,0,Detchd,1971.0,Unf,1.0,264.0,TA,Y,0,0,0,3,2010,WD ,Family,88000,0.6496133254015467,0.25,0.2415370539798719,39,39,Medium,Very Old,105608.33333333333,126883.29571106094,174436.85881877024,7.427144133408616,1.5,3,3,3,0,3,3,3.0
120,RL,53.0,4043,Pave,Reg,Lvl,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,Gable,CompShg,Plywood,None,1.0,TA,CBlock,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,Y,SBrkr,1069,0,1069,0.0,2,0,2,1,4,Typ,1,Attchd,1977.0,RFn,2.0,440.0,TA,Y,0,55,0,7,2010,WD ,Normal,127500,0.2643422354104847,0.6666666666666666,0.411214953271028,33,33,Medium,Very Old,140710.86956521738,191252.78333333333,174436.85881877024,8.304989580140361,2.0,3,3,3,2,4,3,3.4285714285714284
160,RL,24.0,2280,Pave,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,Gable,CompShg,Plywood,None,1.0,TA,CBlock,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,Y,SBrkr,855,601,1456,0.0,2,1,3,1,6,Typ,1,Attchd,1975.0,Unf,2.0,440.0,TA,Y,173,0,0,6,2010,WD ,Normal,149900,0.6383165278386672,0.5,0.30199039121482496,35,35,Medium,Very Old,140710.86956521738,191252.78333333333,174436.85881877024,7.732369222284388,2.5,4,3,3,3,3,3,3.5714285714285716
120,RL,24.0,2280,Pave,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,Gable,CompShg,Plywood,None,1.0,TA,CBlock,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Y,SBrkr,836,0,836,0.0,1,0,2,1,4,Typ,0,Attchd,1975.0,Unf,1.0,308.0,TA,Y,0,30,0,6,2010,WD ,Normal,120000,0.3665059184568172,0.3333333333333333,0.36798088410991636,35,35,Medium,Very Old,140710.86956521738,191252.78333333333,174436.85881877024,7.732369222284388,1.0,3,5,3,0,4,3,3.5714285714285716
160,RL,24.0,2280,Pave,Reg,Lvl,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,Gable,CompShg,Plywood,None,1.0,TA,CBlock,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Y,SBrkr,855,601,1456,0.0,2,1,3,1,7,Typ,1,Attchd,1978.0,Unf,2.0,440.0,TA,Y,26,0,0,7,2010,WD ,Normal,146000,0.6383165278386672,0.5,0.30199039121482496,32,32,Medium,Very Old,140710.86956521738,191252.78333333333,174436.85881877024,7.732369222284388,2.5,3,2,3,3,4,3,3.4285714285714284
60,RL,102.0,12858,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2010,Gable,CompShg,VinylSd,Stone,162.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Y,SBrkr,1627,707,2334,0.0,2,1,3,1,10,Typ,1,Attchd,2009.0,Fin,3.0,751.0,TA,Y,144,133,0,1,2010,New,Partial,376162,0.18150711563885216,0.5,0.321627408993576,1,0,Very New,Recent,322682.4146341463,191252.78333333333,275744.7008547009,9.461799234270439,2.5,5,5,3,4,5,5,5.142857142857143
20,RL,98.0,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,Stone,200.0,TA,PConc,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Y,SBrkr,1704,0,1704,1.0,2,0,3,1,7,Typ,1,Attchd,2008.0,RFn,3.0,772.0,TA,Y,0,50,0,5,2010,WD ,Normal,306000,0.14844498649708163,0.5,0.45278592375366566,3,2,Very New,Recent,322682.4146341463,191252.78333333333,174436.85881877024,9.348274558065496,3.0,4,5,3,4,5,4,4.714285714285714
20,RL,83.0,10159,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2010,Hip,CompShg,VinylSd,Stone,450.0,TA,PConc,TA,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,GasA,Y,SBrkr,1940,0,1940,1.0,2,1,3,1,8,Typ,1,Attchd,2010.0,Fin,3.0,606.0,TA,Y,168,95,0,4,2010,New,Partial,395192,0.19094488188976377,0.5,0.312210200927357,1,0,Very New,Recent,322682.4146341463,191252.78333333333,275744.7008547009,9.226213721132472,3.5,5,5,3,4,5,5,5.142857142857143
20,RL,94.0,12883,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2010,Gable,CompShg,VinylSd,Stone,256.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Y,SBrkr,1544,0,1544,0.0,2,0,3,1,7,Typ,0,Attchd,2009.0,RFn,3.0,868.0,TA,Y,0,35,0,6,2010,New,Partial,290941,0.11983855945358585,0.5,0.5618122977346278,1,0,Very New,Recent,322682.4146341463,191252.78333333333,275744.7008547009,9.46374151045109,2.0,4,5,3,0,4,4,4.0
20,RL,95.0,12182,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,BrkFace,226.0,TA,PConc,TA,Mn,BLQ,1201.0,Unf,0.0,340.0,1541.0,GasA,Y,SBrkr,1541,0,1541,0.0,2,0,3,1,7,Typ,1,Attchd,2005.0,RFn,2.0,532.0,TA,Y,0,70,0,5,2010,New,Partial,220000,0.12648772880242962,0.5,0.3450064850843061,5,5,Very New,Recent,322682.4146341463,191252.78333333333,275744.7008547009,9.407796816354407,2.0,4,5,3,4,4,4,4.428571428571429
