MS SubClass,Lot Frontage,Lot Area,Land Slope,Condition 1,Condition 2,Overall Qual,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Cond,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Mo Sold,Yr Sold,Sale Condition,SalePrice,Density_Ratio,BathPerBed,Garage_per_Living,House_Age,Years_Since_Remod,Age_Group,Remod_Group,Neighborhood_AvgPrice,Zone_AvgPrice,SaleType_AvgPrice,Lot_Area_log,Total_Bath,Kitchen Qual_num,Heating QC_num,Garage Qual_num,Fireplace Qu_num,Bsmt Qual_num,Exter Qual_num,Quality_Score,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Street_Pave,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_PreCast,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasW,Heating_OthW,Heating_Other,Central Air_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD 
60,75.0,10000,1,6,5,6,5,1994,1.0,4,4,2,6,0.0,5,0.0,763.0,763.0,763,892,1655,0.0,2,1,3,1,7,8,1,1993.0,4,2.0,440.0,5,3,157,84,0,4,2010,5,175900,0.16548345165483452,0.5,0.26570048309178745,17,16,3,2,191218.9263803681,191252.78333333333,174436.85881877024,9.210440366976517,2.5,3,4,3,3,4,3,3.7142857142857144,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,64.0,7980,1,6,5,6,7,2007,1.0,3,4,2,5,935.0,5,0.0,233.0,1168.0,1187,0,1187,1.0,2,0,3,1,6,8,0,1992.0,4,2.0,420.0,5,3,483,21,0,3,2010,5,185000,0.1487282295451698,0.5,0.35353535353535354,18,3,3,4,191218.9263803681,191252.78333333333,174436.85881877024,8.984818995876008,3.0,3,5,3,0,4,3,3.4285714285714284,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,63.0,8402,1,6,5,6,5,1998,1.0,4,4,2,6,0.0,5,0.0,789.0,789.0,789,676,1465,0.0,2,1,3,1,7,8,1,1998.0,4,2.0,393.0,5,3,0,75,0,5,2010,5,180400,0.17434249672735927,0.5,0.2680763983628922,12,12,3,3,191218.9263803681,191252.78333333333,174436.85881877024,9.036344063928219,2.5,3,4,3,4,4,3,3.857142857142857,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,85.0,10176,1,6,5,7,5,1990,1.0,4,4,5,7,637.0,5,0.0,663.0,1300.0,1341,0,1341,1.0,1,1,2,1,5,8,1,1990.0,2,2.0,506.0,5,3,192,0,0,2,2010,5,171500,0.13176771150633781,0.3333333333333333,0.3770491803278688,20,20,3,2,191218.9263803681,191252.78333333333,174436.85881877024,9.227885551191932,2.5,4,4,3,1,4,3,3.7142857142857144,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,60.0,6820,1,6,5,8,5,1985,1.0,4,4,4,7,368.0,2,1120.0,0.0,1488.0,1502,0,1502,1.0,1,1,1,1,4,8,0,1985.0,3,2.0,528.0,5,3,0,54,0,6,2010,5,212000,0.22020231637589796,0.5,0.35129740518962077,25,25,2,2,318882.04,191252.78333333333,174436.85881877024,8.82776136765472,2.5,4,3,3,0,4,4,3.7142857142857144,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,47.0,53504,3,6,5,8,5,2003,603.0,4,4,5,5,1416.0,5,0.0,234.0,1650.0,1690,1589,3279,1.0,3,1,4,1,12,5,1,2003.0,4,3.0,841.0,5,3,503,36,0,6,2010,5,538000,0.06128399215026633,0.6,0.25640243902439025,7,7,4,3,318882.04,191252.78333333333,174436.85881877024,10.887530386461101,4.5,5,5,3,4,4,5,4.857142857142857,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,152.0,12134,3,6,5,8,7,2005,1.0,4,4,4,7,427.0,5,0.0,132.0,559.0,1080,672,1752,0.0,2,0,4,1,8,8,0,1988.0,3,2.0,492.0,5,3,325,12,0,6,2010,5,164000,0.14437577255871445,0.4,0.28066172276098117,22,5,2,4,191218.9263803681,191252.78333333333,174436.85881877024,9.403849118160702,2.0,3,4,3,0,4,4,3.7142857142857144,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,88.0,11394,1,6,5,9,2,2010,350.0,4,4,4,7,1445.0,5,0.0,411.0,1856.0,1856,0,1856,1.0,1,1,1,1,8,8,1,2010.0,4,3.0,834.0,5,3,113,0,0,6,2010,6,394432,0.16287845546292234,0.5,0.4491114701130856,0,0,4,4,318882.04,191252.78333333333,275744.7008547009,9.340929941679784,2.5,5,5,3,5,5,4,5.142857142857143,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,140.0,19138,1,6,5,4,5,1951,1.0,4,4,2,4,120.0,5,0.0,744.0,864.0,864,0,864,0.0,1,0,2,1,4,8,0,1951.0,2,2.0,400.0,5,3,0,0,0,6,2010,5,141000,0.045143424421338625,0.3333333333333333,0.4624277456647399,59,59,1,1,191218.9263803681,191252.78333333333,174436.85881877024,9.859483417038073,1.0,3,5,3,0,3,3,3.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,85.0,13175,1,6,5,6,6,1988,119.0,4,4,2,5,790.0,4,163.0,589.0,1542.0,2073,0,2073,1.0,2,0,3,1,7,4,2,1978.0,2,2.0,500.0,5,3,349,0,0,2,2010,5,210000,0.15733151183970856,0.5,0.24108003857280616,32,22,2,2,188406.90839694656,191252.78333333333,174436.85881877024,9.486152271857476,3.0,3,3,3,3,4,3,3.5714285714285716,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,105.0,11751,1,6,5,6,6,1977,480.0,4,4,2,3,705.0,5,0.0,1139.0,1844.0,1844,0,1844,0.0,2,0,3,1,7,8,1,1977.0,3,2.0,546.0,5,3,0,122,0,1,2010,5,190000,0.15690946221919674,0.5,0.2959349593495935,33,33,2,1,188406.90839694656,191252.78333333333,133812.20731707316,9.371778717853713,2.0,3,5,3,3,4,3,3.857142857142857,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85.0,10625,1,6,5,7,6,1974,81.0,4,4,5,7,885.0,3,168.0,0.0,1053.0,1173,0,1173,1.0,2,0,3,1,6,8,2,1974.0,3,2.0,528.0,5,3,0,120,0,1,2010,3,170000,0.11038961038961038,0.5,0.4497444633730835,36,36,2,1,188406.90839694656,191252.78333333333,174436.85881877024,9.271059107010888,3.0,4,3,3,3,4,3,3.857142857142857,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,72.5,7500,1,6,5,7,5,2000,1.0,4,4,2,7,533.0,5,0.0,281.0,814.0,814,860,1674,1.0,2,1,3,1,7,8,0,2000.0,3,2.0,663.0,5,3,0,96,0,1,2010,5,216000,0.223170243967471,0.5,0.3958208955223881,10,10,3,3,229707.32417582418,218986.94964028776,174436.85881877024,8.922791623969637,3.5,4,5,3,0,4,4,3.857142857142857,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,73.0,11241,1,6,5,6,7,1970,180.0,4,4,2,5,578.0,5,0.0,426.0,1004.0,1004,0,1004,1.0,1,0,2,1,5,8,1,1970.0,4,2.0,480.0,5,3,0,0,0,3,2010,5,149000,0.08930795232165095,0.3333333333333333,0.47761194029850745,40,40,2,1,144279.99071925753,191252.78333333333,174436.85881877024,9.32741204356202,2.0,3,5,3,3,3,3,3.7142857142857144,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
